Entidad federativa,"Abreviatura
(ISO)",Capital,Año de creación,Población,Superficie,Latitud,Longitud
Aguascalientes,MX-AGS,Aguascalientes,1857,1 184 996,5 625,21.8853247,-102.29151309999997
Baja California,MX-BCN,Mexicali,1952,3 155 070,71 546,30.8406338,-115.28375849999998
Baja California Sur,MX-BCS,La Paz,1974,637 026,73 943,26.0444446,-111.66607249999998
Campeche,MX-CAM,San Francisco de Campeche,1863,822 441,57 727,18.931225,-90.26180679999999
Chiapas,MX-CHP,Tuxtla Gutiérrez,1824,4 796 580,73 681,16.7569318,-93.1292353
Chihuahua,MX-CHI,Chihuahua,,3 406 465,247 487,28.4854458,-105.78206740000002
Ciudad de México,MX-DIF,No aplica,,8 851 080,1 479,19.4326077,-99.13320799999997
Coahuila,MX-COA,Saltillo,,3 055 395,151 571,27.058676,-101.7068294
Colima,MX-COL,Colima,1856,650 555,5 627,19.1222634,-104.00723479999999
Durango,MX-DUR,Victoria de Durango,1824,1 632 934,123 367,24.5592665,-104.6587821
Guanajuato,MX-GTO,Guanajuato,1823,5 486 372,30 621,20.9170187,-101.16173559999999
Guerrero,MX-GRO,Chilpancingo de los Bravo,1849,3 388 768,63 794,17.4391926,-99.54509739999997
Hidalgo,MX-HGO,Pachuca de Soto,1869,2 665 018,20 856,20.0910963,-98.76238739999997
Jalisco,MX-JAL,Guadalajara,1823,7 350 682,78 630,20.6595382,-103.34943759999999
México,MX-MEX,Toluca de Lerdo,,15 175 862,22 333,19.4968732,-99.72326729999997
Michoacán,MX-MIC,Morelia,,4 351 037,58 667,19.5665192,-101.7068294
Morelos,MX-MOR,Cuernavaca,1869,1 777 227,4 892,18.6813049,-99.10134979999998
Nayarit,MX-NAY,Tepic,1917,1 084 979,27 862,21.7513844,-104.84546190000003
Nuevo León,MX-NLE,Monterrey,1824,4 653 458,64 203,25.592172,-99.99619469999999
Oaxaca,MX-OAX,Oaxaca de Juárez,1823,3 801 962,93 343,17.0731842,-96.72658890000002
Puebla,MX-PUE,Puebla de Zaragoza,,5 779 829,34 251,19.0412894,-98.20620129999998
Querétaro,MX-QRO,Santiago de Querétaro,,1 827 937,11 658,20.5888184,-100.38988760000001
Quintana Roo,MX-ROO,Chetumal,1974,1 325 578,42 535,19.1817393,-88.4791376
San Luis Potosí,MX-SLP,San Luis Potosí,1823,2 585 518,61 165,22.1564699,-100.98554089999999
Sinaloa,MX-SIN,Culiacán Rosales,1830,2 767 761,57 331,25.1721091,-107.4795173
Sonora,MX-SON,Hermosillo,1824,2 662 480,184 946,29.2972247,-110.33088140000001
Tabasco,MX-TAB,Villahermosa,,2 238 603,24 747,17.8409173,-92.6189273
Tamaulipas,MX-TAM,Ciudad Victoria,,3 268 554,80 148,24.26694,-98.8362755
Tlaxcala,MX-TLX,Tlaxcala de Xicohténcatl,1856,1 169 936,4 016,19.318154,-98.2374954
Veracruz,MX-VER,Xalapa-Enríquez,1823,7 643 194,71 856,19.173773,-96.13422409999998
Yucatán,MX-YUC,Mérida,,1 955 577,39 671,20.7098786,-89.09433769999998
Zacatecas,MX-ZAC,Zacatecas,,1 490 668,75 416,22.7708555,-102.5832426
